timestamp,zoom,primary_count,secondary_count,expand_px,abox_width,abox_height,dist_to_center,mean_x,mean_y
182427875,33.00,26,23,7,31,24,7800,212,137
182432843,33.00,53,69,7,32,32,7794,243,114
182441109,33.00,10,24,7,20,30,7778,236,145
182453484,33.00,38,47,7,29,37,7729,254,196
182499468,33.00,38,34,7,28,29,7701,312,177
182552453,33.00,33,27,7,26,29,7821,284,36
182555953,33.00,37,23,7,23,29,7715,318,152
182560359,33.00,49,41,7,36,27,7707,282,199
182571156,33.00,23,16,7,27,25,7730,252,197
182576843,33.00,8,10,7,14,21,7756,215,197
182591078,33.00,34,39,7,31,33,7778,238,142
182605187,33.00,49,44,7,35,27,7753,226,190
182610234,33.00,93,69,7,39,44,7732,254,192
182614875,33.00,40,28,7,30,27,7686,307,204
182621390,33.00,46,37,7,24,24,7778,240,140
182662234,33.00,23,27,7,27,25,7728,286,165
182711781,33.00,26,43,7,26,28,7811,219,114
182713328,33.00,79,49,7,32,34,7802,232,114
182715187,33.00,46,42,7,31,26,7758,265,144
182720281,33.00,17,11,7,25,20,7716,292,176
182731687,33.00,63,65,7,33,39,7753,292,124
182734812,33.00,24,30,7,24,28,7785,221,149
182740062,33.00,34,64,7,32,28,7742,219,213
182769140,33.00,40,36,7,27,28,7752,227,191
182781406,33.00,24,23,7,22,19,7709,281,197
182800421,33.00,31,25,7,28,26,7758,263,145
182808609,33.00,27,33,7,31,29,7710,283,194
182813750,33.00,32,25,7,30,23,7707,283,198
182815609,33.00,40,41,7,28,30,7752,230,188
182817390,33.00,66,53,7,36,39,7754,225,189
182823625,33.00,28,20,7,29,27,7778,239,141
182830468,33.00,14,13,7,25,18,7752,225,192
182849593,33.00,44,71,7,31,32,7797,276,77
182858609,33.00,29,22,7,21,24,7648,303,262
182862750,33.00,29,58,7,29,31,7767,329,67
182873015,33.00,25,18,7,27,26,7759,261,146
182896593,33.00,17,16,7,24,27,7770,233,159
182902562,33.00,33,29,7,30,27,7768,230,165
182909984,33.00,34,41,7,22,22,7814,218,112
182922390,33.00,40,36,7,28,30,7708,281,199
182933750,33.00,28,27,7,26,24,7751,227,192
182945437,33.00,41,33,7,34,29,7736,290,150
182968609,33.00,52,42,7,34,32,7740,220,215
183008156,33.00,31,19,7,30,28,7758,263,145
183013437,33.00,7,8,7,21,22,7787,228,140
183018390,33.00,42,33,7,28,31,7773,267,121
183025437,33.00,11,10,7,32,19,7726,253,201
183029062,33.00,25,21,7,28,24,7788,205,161
183042843,33.00,46,84,7,21,33,7732,254,192
183052078,33.00,73,68,7,25,29,7768,232,162
183058046,33.00,42,26,7,33,31,7770,267,124
183067125,33.00,29,35,7,23,30,7736,291,149
183068984,33.00,54,28,7,22,31,7720,267,195
183070781,33.00,76,53,7,29,25,7750,275,145
183132437,33.00,30,35,7,32,23,7802,207,139
183135109,33.00,37,35,7,28,27,7752,235,183
183141312,33.00,8,7,7,20,18,7777,220,162
183146343,33.00,33,30,7,28,27,7767,247,149
183156421,33.00,13,9,7,24,22,7717,287,180
183161859,33.00,14,16,7,20,17,7768,250,145
183168250,33.00,33,17,7,24,25,7710,299,178
183204843,33.00,36,29,7,25,29,7731,228,220
183272953,33.00,29,23,7,29,28,7792,232,129
183280234,33.00,55,29,7,32,22,7712,299,174
183287000,33.00,59,64,7,33,29,7731,248,199
183294046,33.00,31,52,7,23,20,7770,245,146
183308296,33.00,57,51,7,38,31,7750,236,184
183313718,33.00,19,19,7,27,22,7726,255,199
183328593,33.00,59,55,7,30,23,7722,271,188
183339171,33.00,21,22,7,22,17,7717,279,188
183351140,33.00,18,15,7,24,16,7719,278,186
183359906,33.00,22,22,7,23,22,7719,289,174
183364656,33.00,97,71,7,35,28,7728,249,202
183379000,33.00,27,23,7,26,25,7754,291,123
183413125,33.00,7,30,7,17,18,7711,222,254
183420921,33.00,19,12,7,29,24,7713,277,195
183429281,33.00,59,46,7,31,41,7708,249,231
183432671,33.00,13,29,7,23,18,7795,236,120
183439843,33.00,61,74,7,32,38,7736,227,214
183451921,33.00,67,71,7,42,34,7771,233,158
183457421,33.00,9,13,7,22,19,7773,240,147
183462812,33.00,28,28,7,25,30,7773,231,157
183472625,33.00,12,13,7,23,16,7771,244,146
183480437,33.00,73,82,7,32,41,7775,250,135
183488343,33.00,60,68,7,26,31,7808,272,66
183536343,33.00,46,31,7,33,38,7679,274,247
183550265,33.00,10,10,7,24,11,7541,381,335
183556078,33.00,76,119,7,35,33,7773,252,135
183564390,33.00,10,11,7,18,18,7703,321,166
183576140,33.00,16,15,7,25,27,7766,216,181
183688609,33.00,37,26,7,36,27,7729,228,222
183699718,33.00,106,51,7,35,35,7691,309,194
183713968,33.00,91,80,7,36,36,7720,283,179
183721046,33.00,84,75,7,29,39,7766,220,178
183730140,33.00,55,42,7,32,40,7717,285,182
183741093,33.00,46,34,7,33,36,7718,283,182
183752640,33.00,119,58,7,38,41,7720,282,181
183759218,33.00,10,18,7,30,21,7708,286,194
183764000,33.00,33,30,7,34,37,7712,288,185
183810203,33.00,40,32,7,37,28,7702,253,235
183822296,33.00,13,10,7,33,22,7703,250,237
183823890,33.00,32,27,7,21,29,7704,250,235
183831265,33.00,79,72,7,47,33,7761,185,221
183839875,33.00,40,91,7,34,32,7775,248,137
183852562,33.00,37,20,7,29,37,7682,288,228
183878968,33.00,33,20,7,29,31,7736,242,198
183888734,33.00,33,98,7,35,32,7773,234,153
183893359,33.00,59,86,7,28,32,7746,275,150
183911109,33.00,16,17,7,19,30,7802,221,126
183932593,33.00,75,59,7,35,40,7679,274,247
183939781,33.00,27,19,7,34,25,7710,262,215
183941562,33.00,61,46,7,35,39,7722,295,164
183971375,33.00,55,67,7,23,35,7748,272,150
183973328,33.00,12,16,7,24,17,7726,279,175
184013765,33.00,32,76,7,25,30,7776,251,132
184018968,33.00,40,26,7,36,32,7717,294,172
184024421,33.00,74,57,7,35,40,7718,297,168
184025968,33.00,10,17,7,30,19,7729,282,167
184031328,33.00,75,38,7,31,37,7746,275,150
184083203,33.00,39,36,7,21,35,7744,218,211
184088437,33.00,31,22,7,31,29,7715,296,173
184093312,33.00,8,13,7,16,24,7794,238,120
184106515,33.00,19,28,7,28,19,7771,208,182
184127656,33.00,27,24,7,27,26,7769,234,159
184156187,33.00,49,57,7,23,35,7746,273,152
184238593,33.00,24,26,7,22,19,7685,229,285
